,excerpt_and_book
"Ichthyosaurus (say ick-thee-oa-sor-us) was a massive, fast-swimming sea reptile that lived in the time of the dinosaurs. ichthyosaurusThe dinosaur hunters pg24/253_right.png",3
"The Hunt Goes on © Putting dinosaur bones together is like doing an endless puzzle. Each new piece changes the way we look at the whole picture. What did iguanodon (say ig-wa-noa-don) look like? As new fossils were found, our ideas about || First, people thought it looked iguanodon changed. like this. » ¢ PaneeO Then they thought it looked like this. Today, we believe it looked like this.The dinosaur hunters pg24/261_left.png",3
"Rock and Bone, Dinosaur Cove, Australia, 1989-1991 At Dinosaur Cove Tonnes of rock in Australia, two were moved. dinosaur hunters were at work, The dinosaur was named after their daughter, Leaellyn.The dinosaur hunters pg24/259_left.png",3
"Hunting Dinosaurs Dinosaurs lived on Earth millions of years ago. Dinosaur hunters look for clues, such as fossils of bones, teeth and claws. These clues help us understand more about these amazing creatures. How fossils are made After an animal dies Its bones sink its remains start to rot. into the mud. Fossils are the impressions or remains of bones and body parts that have been preserved over a very long time. Time passes. Mud, sand and bones turn to stone. Millions of years later, disappears and the fossils can be discovered. land moves.The dinosaur hunters pg24/252_left.png",3
"allosaurus skull fossil Close book Stegosaurus (say steg-oa-sor-us) was as ig as a bus, but its brain was tiny - about the size of a walnut! It ate plants and it may have used its club-like tail to fight off hunters such as allosaurus. Allosaurus (say sor-us) was a giant predator. It was longer than a bus and as tall as a giraffe, with sharp curv hooked into its prey. PCTThe dinosaur hunters pg24/257_right.png",3
Sinosauropteryx (say sine- ate small animals and lizards. It was about the size of a turkey. Dinosaur hunters have found lizard remains inside sinosauropteryx skeletons.The dinosaur hunters pg24/260_right.png,3
"USA, 1878-1897 Could this be the largest dinosaur ever? The bones were sent toa museum but they disappeared. Cope studied a piece of bone from an amphicoelias (say am-fi-see-lee-us). It was huge! 2 Cope and Marsh found about 130 new species of dinosaurs. BR pili They collected more fossils than Cope died in 1897. they could possibly study, He had his skull kept and measured — some people say this was to prove af, that he had a bigger 277) brain than Marsh. 5The dinosaur hunters pg24/258_left.png",3
brachiosaurusThe dinosaur hunters pg24/252_right.png,3
"Every fossil find is exciting. Much of what we know about dinosaurs comes from just a single bone or a few teeth. Dinosaur hunters use their knowledge of other animals and other fossils to solve the dinosaur puzz No one knows which creature made this fossil footprint. At least, not yet!The dinosaur hunters pg24/261_right.png",3
a-tops) was a plant-eating dinosaur. an elephant. It had three sharp horns and a y frill behind its head to help keep it safe. But triceratops nes eaten by the meat-eating mon y ti-ran-oa-sor-us). triceratops skull fossilThe dinosaur hunters pg24/258_right.png,3
"‘Dragons’ and Flying Fossils Lyme Regis, England, 1810 AE Mary Anning collected People say they Jf Then one day, fossils with her father Mary's father died. and brother. Mary's family sold the fossils so they could buy food How will we eat without Father? We'll go to the cliffs tomorrow. ‘She had found an ichthyosaurus, ‘a creature from the time of the dinosaurs! People were amazed by Mary's ichthyosaurus They began to study it. They learned it had lived hundreds of millions of years ago!The dinosaur hunters pg24/253_left.png",3
"The Bone Wars United States of America (USA), 1868 Each of these men rowilthead! thought he was the world’s greatest dinosaur hunter. They made fun of each |/Fat He's put |j} They stole each other's fossils. other's work a he head on the wrong end! rs Quick! Get them on the cart!The dinosaur hunters pg24/256_left.png",3
"When he got home, he invited all of his friends round for a party. Brer Terrapin came, Brer Raccoon, Sister Cow, little Mr Cricket, Brer Billy Goat and Mr Benjamin Ram. They danced so much that they nearly fell through the floorboards. Brer Rabbit's wife cooked the chickens, and that night none of them went to bed hungry. 47Brer rabbits trickbag pg64/2151_right.png",2
"of it streaming in through the windows and baking me. I thought I was going to melt, or maybe faint. Now that would be embarrassing. I shook myself and pulled off my jumper. ‘And now we come to the moment of truth? Miss Bartlett clapped her hands, eyes shining. ‘I wish I had time to show you all the entries properly, but I’m going to tell you something about the top three before we announce the winner? Oh no. This was torture, I heard Sophia give a muffled groan. Double Exposure",2
"safety of that tree over there,” he says, pointing towards a tree a little way away. They knot their ropes together and Liam ties one end to the bolt. But as they walk to the tree, they realize the rope isn’t going to be long enough. Liam isn’t sure what to do next. Mark reaches for his backpack. He has an idea, too, Mark pulls out all his spare clothes, knots them together and ties them to the end of the rope. Big Game Adventure",2
"Harry sat down beside him and spoke softly. ‘We must keep still. It might have a trembler.” Jack opened his eyes. ‘What's a trembler?’ ‘It’s a thing that sets off the explosive. If there is a sudden noise or movement ~ Bang!” Raf snored loudly. Harry clamped Rat's, jaws together, and stroked his shaggy head, “He's having a dream.’ ‘Twish I was,’ said Jack. His voice shook, ‘Harry, I've just thought. Will they blow up the bomb here?"" “Don’t be daft,’ said Harry. But his face was pale. They dragged Raf across their legs to keep them warm, untied their jackets and put them back on. “What's going to happen to us, Harry? I wish we were back home with Mum.’Air raid/27_right.png",2
"Wilf had a large box. “This is my birthday present,” he said. Everyone looked inside the box. “What is it?” asked Chip. “It looks like a submarine,” said Biff.Submarine adventure pg32/273_left.png",2
"Chas Smeelly grinned as he opened the doors. “Doors opened, Mr Fogg,” he said. “Good.” And to us Bantam Fogg said, “Listen to me, you monkey chaps. You're coming with us. There's a little job I want you to do.” And we climbed inside the van, feeling very small and very frightened. SV aT Close bookClever monkey pg64/1875_right.png",2
"“Mmm ...” said Brer Wolf, widening his stony eyes, “I’m going to the market myself.” “Oh, are you?” beamed Brer Rabbit. “Can I have a lift?” “You're more than welcome,” said Brer Wolf, feeling that his chance to catch Brer Rabbit had come at last. Brer Rabbit jumped up on to the old horse-cart, and off they went. 38Brer rabbits trickbag pg64/2147_left.png",2
"Index ‘adrenalin aikido avalanche belaying boots capoeira ‘crampons fins Foteringnam, Aaron Bloves harness hazards helmet Hurd, Max hypothermia Ice axe ice screws judo arate knots ung fu lanyard Last, Jonny mask: ninjtsu pressure rope taekwondo. vert eur 3 30 6 6 5, 13, 26 19,30 5 39 24-25 5 5,16 6, 16,27 5, 13, 16, 26 12-44 27 18, 19-20 9 30 3,10 5,6,15 20 Adrenaline Rush",2
"About the author I was born by the sea in Portsmouth a faitly long time ago. Asa boy, I heard many tales of ‘mutinies, pirates and press gangs; of bold and fearless men, And I wrote many stories for children about brave heroes, ‘One day, my daughter ‘Tania and her daughter Marie asked me why all pirates were men; didn’t women go to sea? And. as | dug into the past, I discovered quite a few women ~ authors had somehow written them out of history. ‘That is how Grace came to have her story told.Grace the Pirate/35_left.png",2
"Mrs Weston said, ‘Sit down, Trudy. Let Lisa bring you a water jar and some paints.’ ‘And DONT Move OUT OF YOVR SEAT unless You"" must ‘Trudy knew why Mrs Weston wanted her to sit down. Mrs Weston had been her teacher for three months She had seen what happened now. when Trudy tried to do Art. It was always a disaster! Here Comes Trouble",2
"But the boys took no notice. Exploring bomb sites was an exciting game, and escaping from Old Tin Hat made it even better. ‘Do you think he’s scared?"" asked. Jack. ‘No, not Old Tin Hat. He's got no feelings,’ said Harry. ‘Keep your head down, Jack, we don’t want him to see us. You know what he’s like — he'll start yelling.’ Old Tin Hat moved away to check some ropes, and the boys pulled themselves to the edge. They had another look at the bomb. ‘Why doesn’t the bomb disposal come?’ asked Jack. “Too busy,’ said Harry. ‘They won't defuse this until the morning. Not much to blow up here anyway ~ most of it’s already gone.’Air raid/6_left.png",2
"Grandad I haven’t told Mum and Dad yet about Goldie being missing. They wouldn’t understand, They're not interested in Grandad’s pigeons. L tried to get out of coming to see Grandad. I told Mum, ‘I can't go to the hospital. I don’t feel very well!’ But she said, ‘Come on, Danny. He'll be expecting you. He'll be really disappointed if you don't come to see him. u Waiting for Goldie",2
"‘Keep still,’ the captain warned them. As the captain held on at the top, Old Tin Hat started to come down the ladder very slowly, very gently - step by step. At last he reached the bottom, and with one movement, he lifted Jack on to his back, Harry watched as Jack was carried up. It seemed to take an age. There was a sudden fall of earth, and Old Tin Hat froze halfway up. Harry gasped with terror but the ladder didn’t move. Old ‘Tin Hat started up again, and when he got to the top, hands reached out and Jack disappeared. (Old Tin Hat started down the ladder again ~ very slowly ~ one rung at a time. At last he got to the bottom. Harry clung on to Raf. ‘I'm not leaving him,’ he whispered.Air raid/31_left.png",2
"The robot stomped down the stairs and into the professor's bathroom. It grabbed a great armful of dirty clothes. Then it carried them down to the kitchen. But instead of putting them into the washing machine it stuffed them into the oven. Next, it took some meat and vegetables out of the fridge. It chopped and sliced them to make a delicious stew. Then it emptied the whole lot into the washing machine! Doohickey and the Robot",2
